Gender,Age,Country/Region,Profession,Education Level,Favorite Celebrity/Genre,Free Time Interests,Online Habits,Life Goals
Female,38,Israel,Education and Research,Some College,Sports and Athletics,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Male,30,Montserrat,Arts and Entertainment,High School Graduate,Sports and Athletics,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Non-binary/Prefer not to say,31,Kazakhstan,Public Service and Non-Profit,High School Graduate,Science and Technology,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,59,Trinidad and Tobago,Arts and Entertainment,Some College,Music and Performing Arts,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Male,47,Albania,Student / Retired / Unemployed / Prefer not to say,Post-Graduate Degree,Music and Performing Arts,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Female,34,Germany,Student / Retired / Unemployed / Prefer not to say,High School Graduate,Entrepreneurship and Business,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,64,Jamaica,Tech and Engineering,Post-Graduate Degree,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Female,49,Jordan,Business and Finance,High School Graduate,Entrepreneurship and Business,Reading or writing,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,58,South Africa,Trades and Services,Some College,Sports and Athletics,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,25,Turkey,Arts and Entertainment,College Degree,Film and Television,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,62,American Samoa,Business and Finance,Some High School,Music and Performing Arts,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Achieving financial security
Male,42,Cuba,Health and Wellness,Post-Graduate Degree,Entrepreneurship and Business,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Female,41,Honduras,Student / Retired / Unemployed / Prefer not to say,High School Graduate,Entrepreneurship and Business,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Achieving financial security
Male,20,Saint Lucia,Tech and Engineering,College Degree,Sports and Athletics,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Female,33,Kazakhstan,Arts and Entertainment,Some College,Sports and Athletics,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,35,Papua New Guinea,Education and Research,College Degree,Politics and Social Activism,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,67,Turkey,Tech and Engineering,Some High School,Sports and Athletics,Reading or writing,"Primarily for work, currently focusing on professional growth",Achieving financial security
Non-binary/Prefer not to say,41,Reunion,Trades and Services,High School Graduate,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Achieving financial security
Female,56,Sao Tome and Principe,Trades and Services,High School Graduate,Politics and Social Activism,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Non-binary/Prefer not to say,54,Maldives,Trades and Services,Post-Graduate Degree,Science and Technology,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Female,68,Slovenia,Public Service and Non-Profit,College Degree,Music and Performing Arts,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
